airport,latitude,longitude,municipality,country,country_code,city,state,postal_code,calling_code,timezone
Tuirial Airfield,23.7432,92.8024,Aizawl,India,IN-MZ,Kolkata,West Bengal,700034,91,Asia/Kolkata
Behala Airport,22.504230499267575,88.29342651367188,Behala,India,IN-WB,,West Bengal,,91,Asia/Kolkata
Bagdogra Airport,26.68120002746582,88.32859802246094,Siliguri,India,IN-WB,Balurghat,West Bengal,733101,91,Asia/Kolkata
Balurghat Airport,25.261699676513672,88.79560089111328,Balurghat,India,IN-WB,,Meghalaya,793103,91,Asia/Kolkata
Shillong Airport,25.70359992980957,91.97869873046876,Shillong,India,IN-ML,Bokaro,Jharkhand,827006,91,Asia/Kolkata
Bokaro Airport,23.64349937438965,86.1489028930664,,India,IN-BR,Bhubaneswar Municipal Corporation,Odisha,752010,91,Asia/Kolkata
Biju Patnaik Airport,20.2444000244,85.8178024292,Bhubaneswar,India,IN-OR,,Assam,786100,91,Asia/Kolkata
Chabua Air Force Station,27.462200164794922,95.1176986694336,Dibrugarh,India,IN-AS,Khardaha,West Bengal,700081,91,Asia/Kolkata
Netaji Subhash Chandra Bose International Airport,22.654699325561523,88.44670104980469,Kolkata,India,IN-WB,,Jharkhand,832300,91,Asia/Kolkata
Chakulia Airport,22.460599899291992,86.70780181884766,,India,IN-JH,,West Bengal,736101,91,Asia/Kolkata
Cooch Behar Airport,26.330499649,89.46720123290001,,India,IN-WB,,Jharkhand,828104,91,Asia/Kolkata
Dhanbad Airport,23.833999633789066,86.42530059814453,,India,IN-BR,,West Bengal,713363,91,Asia/Kolkata
Kazi Nazrul Islam Airport,23.6225,87.243,Durgapur,India,IN-WB,Kharagpur,West Bengal,721301,91,Asia/Kolkata
Kalaikunda Air Force Station,22.339500427246094,87.2145004272461,,India,IN-WB,,Arunachal Pradesh,791122,91,Asia/Kolkata
Daporijo Airport,27.985500335700003,94.22280120850002,Daporijo,India,IN-AR,Gorakhpur,Uttar Pradesh,273001,91,Asia/Kolkata
Gorakhpur Airport,26.739700317399997,83.44969940189999,Gorakhpur,India,IN-UP,,Assam,781013,91,Asia/Kolkata
Lokpriya Gopinath Bordoloi International Airport,26.10610008239746,91.58589935302734,Guwahati,India,IN-AS,Gaya,Bihar,823001,91,Asia/Kolkata
Gaya Airport,24.74430084228516,84.95120239257812,,India,IN-BR,,Odisha,,91,Asia/Kolkata
Hirakud Airport,21.5802001953125,84.00569915771484,Sambalpur,India,IN-OR,Imphal,Manipur,795001,91,Asia/Kolkata
Imphal Airport,24.760000228899997,93.896697998,Imphal,India,IN-MN,,Odisha,768200,91,Asia/Kolkata
Jharsuguda Airport,21.9135,84.0504,,India,IN-OR,,Odisha,764001,91,Asia/Kolkata
Jeypore Airport,18.8799991607666,82.552001953125,Jeypore,India,IN-OR,Jamshedpur,Jharkhand,831001,91,Asia/Kolkata
Sonari Airport,22.8132,86.1688,Jamshedpur,India,IN-JH,,Assam,785005,91,Asia/Kolkata
